id,title,genres,averageRating,numVotes,releaseYear
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104235,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94169,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90520,1995
tt3502248,Bosch,"Crime, Drama",8.5,85863,2014
tt1492966,Louie,"Comedy, Drama",8.5,82890,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82433,2022
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81474,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79505,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78212,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68665,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67078,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66917,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66671,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66663,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65217,1972
tt7120662,"Derry Girls",Comedy,8.5,64254,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61691,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61207,2001
tt0187664,Spaced,Comedy,8.5,58424,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57144,2004
tt2937900,"The Knick","Drama, History",8.5,53357,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,52975,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52766,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52252,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50829,2004
tt0237123,Coupling,"Comedy, Romance",8.5,48225,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47015,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40063,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38034,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36912,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30861,2021
tt1526318,Borgen,Drama,8.5,30548,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30063,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29563,2009
tt0043208,"I Love Lucy",Comedy,8.5,29429,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27172,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26869,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25381,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25169,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23921,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23156,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22831,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,21916,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21484,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21398,2014
tt7259746,"Queer Eye",Reality-TV,8.5,21356,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21344,2002
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20898,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20743,2016
tt1094229,Heartland,"Drama, Family",8.5,20657,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20497,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20015,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19984,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19631,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19434,2020
tt0493331,"Barareh Nights",Comedy,8.5,18698,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17757,2016
